Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2007,3,7,25,3,7/25/2007,AA,19805,AA,N5EUAA,114,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,815,811,-4,0,0,-1,0800-0859,15,826,1659,6,1645,1705,20,20,1,1,1600-1659,0,,0,330,354,333,1,2454,10,0,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N611AA,164,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1450,1456,6,6,0,0,1400-1459,17,1513,2313,5,2310,2318,8,8,0,0,2300-2359,0,,0,320,322,300,1,2454,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N470AA,558,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1135,1132,-3,0,0,-1,1100-1159,16,1148,1606,6,1605,1612,7,7,0,0,1600-1659,0,,0,210,220,198,1,1372,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N287AA,560,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,820,901,41,41,1,2,0800-0859,16,917,1321,5,1240,1326,46,46,1,3,1200-1259,0,,0,200,205,184,1,1372,6,38,0,5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N5BUAA,680,13303,1330302,32467,MIA,"Miami, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1430,1425,-5,0,0,-1,1400-1459,18,1443,1728,11,1735,1739,4,4,0,0,1700-1759,0,,0,185,194,165,1,1086,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N481AA,684,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1630,1642,12,12,0,0,1600-1659,10,1652,2101,5,2110,2106,-4,0,0,-1,2100-2159,0,,0,220,204,189,1,1372,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N617AA,1050,13303,1330302,32467,MIA,"Miami, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2050,2050,0,0,0,0,2000-2059,19,2109,2332,6,2350,2338,-12,0,0,-1,2300-2359,0,,0,180,168,143,1,1086,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N456AA,1130,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1845,1843,-2,0,0,-1,1800-1859,49,1932,2215,6,2200,2221,21,21,1,1,2200-2259,0,,0,135,158,103,1,719,3,0,0,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N484AA,1162,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1945,1945,0,0,0,0,1900-1959,16,2001,2356,7,10,3,-7,0,0,-1,0001-0559,0,,0,205,198,175,1,1372,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N480AA,1184,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1205,1204,-1,0,0,-1,1200-1259,23,1227,1511,11,1518,1522,4,4,0,0,1500-1559,0,,0,133,138,104,1,719,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N503AA,1260,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1345,1343,-2,0,0,-1,1300-1359,15,1358,1812,12,1830,1824,-6,0,0,-1,1800-1859,0,,0,225,221,194,1,1372,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N5FRAA,1270,14843,1484302,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1750,1753,3,3,0,0,1700-1759,10,1803,2142,5,2155,2147,-8,0,0,-1,2100-2159,0,,0,245,234,219,1,1608,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N4XKAA,1450,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1345,1340,-5,0,0,-1,1300-1359,14,1354,1705,12,1715,1717,2,2,0,0,1700-1759,0,,0,150,157,131,1,719,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N563AA,1462,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,800,751,-9,0,0,-1,0800-0859,22,813,1101,7,1100,1108,8,8,0,0,1100-1159,0,,0,120,137,108,1,719,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N463AA,1590,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,710,704,-6,0,0,-1,0700-0759,20,724,1121,6,1130,1127,-3,0,0,-1,1100-1159,0,,0,200,203,177,1,1372,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N507AA,1704,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1010,1004,-6,0,0,-1,1000-1059,15,1019,1307,5,1315,1312,-3,0,0,-1,1300-1359,0,,0,125,128,108,1,719,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N578AA,1874,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1020,1016,-4,0,0,-1,1000-1059,20,1036,1447,5,1450,1452,2,2,0,0,1400-1459,0,,0,210,216,191,1,1372,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N582AA,1914,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2205,2220,15,15,1,1,2200-2259,10,2230,109,4,105,113,8,8,0,0,0001-0559,0,,0,120,113,99,1,719,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,AA,19805,AA,N5EHAA,1970,13303,1330302,32467,MIA,"Miami, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,650,703,13,13,0,0,0600-0659,12,715,933,7,945,940,-5,0,0,-1,0900-0959,0,,0,175,157,138,1,1086,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
